Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
100,25,Female,Shoes,Clothing,354,Mumbai,XL,Black,Spring,4.2,No,Express,No,No,41,UPI,Weekly
101,61,Male,Shirt,Clothing,135,Mumbai,S,Black,Winter,1.2,Yes,Next Day,No,No,17,Cash,Monthly
102,28,Female,Bag,Footwear,278,Delhi,XL,White,Autumn,3.9,Yes,Next Day,Yes,No,1,Card,Monthly
103,59,Male,Shoes,Accessories,344,Bangalore,S,Blue,Spring,1.4,No,Standard,Yes,Yes,19,UPI,Weekly
104,18,Male,Jeans,Clothing,421,Bangalore,S,Blue,Winter,4.4,Yes,Standard,No,Yes,1,UPI,Monthly
105,59,Female,Watch,Footwear,100,Delhi,L,Red,Autumn,1.8,Yes,Next Day,Yes,No,28,Cash,Weekly
106,58,Female,Jeans,Clothing,294,Bangalore,L,Black,Winter,3.9,No,Standard,Yes,Yes,30,UPI,Monthly
107,58,Male,Watch,Footwear,456,Delhi,XL,Red,Winter,3.4,Yes,Standard,Yes,Yes,17,Net Banking,Weekly
108,52,Female,Watch,Footwear,246,Bangalore,L,Red,Summer,2.5,No,Next Day,No,Yes,7,Cash,Quarterly
109,42,Male,Shirt,Footwear,29,Mumbai,M,White,Winter,2.1,No,Express,Yes,No,26,Cash,Quarterly
110,54,Male,Shirt,Accessories,138,Delhi,L,Black,Spring,1.2,Yes,Standard,No,No,0,Net Banking,Weekly
111,32,Male,Shirt,Clothing,399,Delhi,XL,Black,Summer,2.4,Yes,Standard,Yes,Yes,13,Card,Weekly
112,58,Female,Bag,Footwear,398,Lucknow,L,White,Autumn,1.8,Yes,Standard,Yes,No,48,UPI,Weekly
113,46,Female,Shoes,Accessories,164,Bangalore,M,Blue,Autumn,1.5,No,Next Day,Yes,No,45,Card,Monthly
114,41,Male,Jeans,Accessories,106,Bangalore,XL,Black,Spring,4,Yes,Express,No,No,31,Cash,Monthly
115,44,Male,Shirt,Clothing,152,Delhi,M,Red,Spring,1.9,No,Next Day,Yes,No,18,UPI,Monthly
116,47,Male,Jeans,Accessories,128,Delhi,M,Blue,Winter,1.9,No,Next Day,No,No,0,Cash,Weekly
117,19,Male,Watch,Accessories,373,Delhi,M,White,Winter,2.4,Yes,Standard,No,Yes,32,Net Banking,Quarterly
118,25,Male,Shirt,Clothing,422,Mumbai,M,White,Autumn,2.9,No,Standard,No,Yes,24,UPI,Quarterly
119,30,Male,Shirt,Footwear,32,Mumbai,S,Red,Autumn,3.1,No,Next Day,Yes,Yes,35,UPI,Quarterly
120,23,Female,Shoes,Clothing,373,Lucknow,L,Black,Winter,3.7,No,Next Day,No,Yes,7,UPI,Monthly
121,40,Male,Shoes,Footwear,378,Lucknow,L,Red,Spring,3.4,No,Standard,No,No,41,UPI,Quarterly
122,52,Male,Shoes,Footwear,310,Mumbai,M,Black,Winter,2.9,No,Standard,Yes,No,40,UPI,Weekly
123,52,Female,Bag,Accessories,436,Mumbai,XL,White,Spring,2.6,Yes,Next Day,Yes,No,21,UPI,Monthly
124,42,Male,Shirt,Clothing,29,Mumbai,M,Red,Autumn,2.1,No,Next Day,No,Yes,1,UPI,Monthly
125,62,Male,Shirt,Accessories,352,Bangalore,M,Blue,Summer,3.8,Yes,Next Day,Yes,No,23,UPI,Quarterly
126,47,Male,Watch,Accessories,72,Bangalore,S,White,Winter,2.3,No,Standard,No,No,18,UPI,Quarterly
127,22,Male,Jeans,Accessories,449,Bangalore,XL,Red,Spring,4.4,No,Next Day,Yes,Yes,38,UPI,Weekly
128,57,Male,Shoes,Clothing,254,Delhi,S,Blue,Autumn,3.3,Yes,Next Day,No,No,11,UPI,Monthly
129,47,Female,Jeans,Accessories,54,Mumbai,S,Black,Spring,3.5,No,Express,Yes,Yes,0,Cash,Monthly
130,51,Male,Shoes,Clothing,375,Lucknow,XL,Red,Spring,3,No,Express,No,Yes,49,UPI,Monthly
131,47,Female,Shoes,Accessories,377,Mumbai,L,Blue,Summer,4.7,No,Next Day,No,Yes,12,Card,Monthly
132,46,Female,Shirt,Accessories,237,Delhi,S,Black,Winter,2.7,No,Next Day,No,No,3,Net Banking,Quarterly
133,22,Male,Bag,Accessories,162,Delhi,M,Black,Summer,2.7,No,Next Day,No,Yes,42,Net Banking,Monthly
134,47,Male,Bag,Footwear,18,Delhi,L,Red,Autumn,4.6,No,Express,No,No,35,UPI,Weekly
135,59,Male,Watch,Footwear,454,Lucknow,S,White,Autumn,3.4,Yes,Standard,No,Yes,13,Cash,Monthly
136,33,Male,Shirt,Footwear,100,Delhi,XL,Blue,Winter,2.8,No,Next Day,No,No,23,Net Banking,Monthly
137,49,Female,Shirt,Footwear,422,Bangalore,L,Black,Summer,2,Yes,Standard,Yes,Yes,34,UPI,Weekly
138,19,Female,Bag,Footwear,298,Mumbai,S,Red,Spring,2,Yes,Next Day,Yes,No,40,Card,Monthly
139,36,Male,Shirt,Clothing,345,Delhi,L,Black,Winter,4.2,Yes,Express,Yes,No,18,UPI,Monthly
140,40,Male,Shirt,Clothing,350,Lucknow,S,Black,Summer,2.1,No,Express,No,No,10,UPI,Quarterly
141,69,Male,Watch,Accessories,430,Bangalore,L,Red,Spring,1,Yes,Standard,Yes,Yes,0,UPI,Monthly
142,29,Female,Jeans,Accessories,26,Lucknow,M,Red,Winter,1.1,No,Standard,Yes,No,42,Cash,Quarterly
143,32,Female,Bag,Footwear,495,Lucknow,S,Black,Winter,4.9,No,Express,No,Yes,40,UPI,Monthly
144,39,Male,Shirt,Clothing,31,Lucknow,L,Black,Spring,3.2,No,Standard,No,Yes,47,Cash,Quarterly
145,69,Male,Jeans,Clothing,499,Bangalore,M,Black,Winter,3,No,Next Day,Yes,No,37,Card,Weekly
146,62,Male,Bag,Footwear,138,Bangalore,M,Red,Autumn,4.7,Yes,Next Day,No,No,10,Net Banking,Weekly
147,19,Male,Watch,Footwear,424,Bangalore,XL,Red,Summer,2.4,No,Standard,No,Yes,12,UPI,Weekly
148,30,Male,Shirt,Clothing,50,Mumbai,L,Red,Autumn,4.2,No,Next Day,Yes,No,12,UPI,Quarterly
149,60,Male,Bag,Clothing,235,Delhi,M,Black,Spring,3.9,No,Standard,No,No,22,Card,Monthly
150,21,Male,Shirt,Accessories,275,Mumbai,S,White,Spring,2.9,No,Standard,Yes,No,48,UPI,Quarterly
151,62,Male,Watch,Accessories,477,Mumbai,L,Black,Spring,4.1,No,Next Day,Yes,Yes,34,Net Banking,Weekly
152,32,Male,Shoes,Clothing,70,Delhi,S,White,Spring,4.9,No,Standard,Yes,Yes,21,Cash,Monthly
153,65,Female,Jeans,Accessories,27,Lucknow,XL,White,Autumn,1.8,No,Express,No,Yes,36,Cash,Monthly
154,33,Female,Shirt,Footwear,327,Lucknow,S,Blue,Winter,1.1,Yes,Standard,No,Yes,41,Cash,Quarterly
155,40,Male,Watch,Footwear,34,Mumbai,L,White,Summer,4.3,No,Standard,No,Yes,20,UPI,Weekly
156,52,Male,Shirt,Footwear,390,Mumbai,M,Red,Spring,2.6,No,Standard,Yes,No,42,Net Banking,Quarterly
157,24,Female,Watch,Accessories,28,Lucknow,L,White,Summer,3.2,Yes,Express,Yes,Yes,0,UPI,Monthly
158,46,Female,Bag,Footwear,485,Mumbai,M,Black,Autumn,1.9,No,Standard,Yes,No,15,Net Banking,Quarterly
159,44,Male,Jeans,Clothing,271,Bangalore,S,Black,Winter,4.4,Yes,Standard,No,Yes,8,Net Banking,Weekly
160,58,Female,Watch,Clothing,474,Bangalore,XL,White,Autumn,3.9,No,Next Day,Yes,No,8,Card,Weekly
161,69,Male,Shoes,Clothing,72,Mumbai,XL,White,Summer,4.8,Yes,Standard,No,No,10,Card,Quarterly
162,52,Male,Shirt,Footwear,143,Lucknow,S,Red,Autumn,2.9,No,Standard,Yes,Yes,18,Net Banking,Weekly
163,39,Female,Bag,Accessories,232,Delhi,S,Blue,Spring,4.9,No,Standard,Yes,Yes,36,Card,Weekly
164,39,Female,Bag,Clothing,24,Delhi,L,Blue,Summer,3,Yes,Next Day,Yes,No,29,Cash,Quarterly
165,39,Female,Shirt,Footwear,60,Bangalore,XL,Blue,Autumn,3.5,Yes,Express,No,Yes,22,Card,Weekly
166,60,Male,Bag,Clothing,171,Bangalore,L,Blue,Spring,3.7,No,Next Day,Yes,No,24,Cash,Quarterly
167,34,Female,Shoes,Accessories,371,Lucknow,S,Red,Spring,3,No,Next Day,Yes,No,9,Cash,Monthly
168,26,Male,Shoes,Clothing,357,Bangalore,L,White,Winter,3.3,Yes,Standard,No,No,36,UPI,Weekly
169,35,Female,Shirt,Clothing,52,Delhi,M,Blue,Spring,1.9,No,Next Day,No,No,37,Net Banking,Monthly
170,19,Male,Shoes,Clothing,39,Lucknow,L,White,Spring,2.4,Yes,Express,No,No,27,Net Banking,Weekly
171,23,Male,Shoes,Clothing,331,Mumbai,M,Black,Autumn,3.8,Yes,Express,Yes,No,40,Card,Quarterly
172,22,Female,Shirt,Accessories,186,Delhi,S,White,Summer,1.2,Yes,Express,No,Yes,40,Cash,Monthly
173,58,Female,Bag,Clothing,398,Bangalore,S,Red,Winter,3.8,Yes,Next Day,Yes,No,40,Cash,Quarterly
174,55,Female,Shoes,Clothing,156,Delhi,L,Red,Winter,2.2,Yes,Standard,Yes,No,5,UPI,Weekly
175,54,Male,Shirt,Accessories,187,Mumbai,L,Blue,Winter,2.1,Yes,Standard,Yes,Yes,4,Net Banking,Weekly
176,42,Male,Bag,Accessories,117,Mumbai,M,Blue,Summer,3.8,Yes,Next Day,Yes,Yes,21,UPI,Monthly
177,55,Female,Shirt,Accessories,140,Delhi,S,Blue,Winter,1.9,Yes,Next Day,Yes,Yes,2,UPI,Monthly
178,26,Female,Jeans,Accessories,356,Lucknow,XL,White,Summer,4.8,Yes,Express,Yes,No,0,Cash,Quarterly
179,64,Male,Bag,Footwear,240,Bangalore,S,Black,Spring,5,Yes,Standard,No,Yes,6,Card,Quarterly
180,44,Female,Jeans,Footwear,332,Lucknow,S,Red,Winter,2.8,Yes,Standard,No,Yes,6,Net Banking,Weekly
181,66,Female,Jeans,Clothing,48,Mumbai,M,White,Autumn,2.6,Yes,Express,No,Yes,16,UPI,Monthly
182,25,Male,Jeans,Footwear,272,Bangalore,L,Red,Spring,1.3,No,Next Day,Yes,No,16,UPI,Quarterly
183,43,Female,Bag,Accessories,234,Lucknow,XL,Red,Winter,4.1,Yes,Express,Yes,Yes,40,Cash,Monthly
184,54,Female,Bag,Accessories,456,Delhi,L,Red,Spring,1.7,Yes,Standard,Yes,Yes,45,Net Banking,Monthly
185,43,Female,Watch,Footwear,217,Lucknow,XL,Red,Autumn,4.7,No,Express,Yes,No,8,Net Banking,Quarterly
186,41,Female,Shirt,Clothing,60,Delhi,L,Red,Summer,5,Yes,Standard,No,Yes,19,UPI,Weekly
187,26,Male,Jeans,Accessories,351,Lucknow,XL,White,Spring,1.5,No,Express,Yes,Yes,25,Cash,Weekly
188,37,Female,Shoes,Footwear,83,Bangalore,S,Red,Winter,3.7,Yes,Next Day,Yes,No,13,UPI,Monthly
189,30,Female,Shirt,Footwear,455,Bangalore,S,White,Autumn,2.9,Yes,Express,No,Yes,16,Cash,Weekly
190,33,Female,Shoes,Clothing,197,Delhi,L,Red,Winter,3.2,Yes,Standard,No,Yes,33,Cash,Monthly
191,53,Female,Shoes,Accessories,394,Bangalore,XL,White,Autumn,1.7,No,Standard,No,No,21,Cash,Quarterly
192,50,Male,Shirt,Clothing,331,Bangalore,L,White,Winter,3.9,Yes,Standard,No,Yes,35,Card,Quarterly
193,49,Male,Watch,Clothing,237,Lucknow,M,Black,Winter,1.7,Yes,Express,No,Yes,3,Card,Quarterly
194,36,Male,Shirt,Clothing,296,Lucknow,M,White,Winter,4.5,No,Standard,No,No,24,Card,Monthly
195,67,Female,Jeans,Accessories,99,Mumbai,S,Red,Autumn,2.8,No,Next Day,No,No,15,Card,Quarterly
196,22,Female,Bag,Footwear,46,Mumbai,M,Blue,Spring,3.5,No,Standard,Yes,Yes,14,Cash,Quarterly
197,35,Female,Watch,Accessories,385,Mumbai,L,White,Summer,4.7,Yes,Standard,Yes,No,23,Card,Quarterly
198,24,Male,Shoes,Accessories,479,Mumbai,S,Black,Autumn,4,Yes,Express,Yes,No,15,Card,Weekly
199,35,Female,Shirt,Footwear,432,Delhi,M,Red,Spring,3.2,No,Next Day,Yes,No,37,UPI,Weekly
200,68,Male,Shirt,Accessories,159,Delhi,M,Red,Spring,2.6,No,Next Day,No,No,9,Card,Quarterly
201,37,Male,Watch,Footwear,185,Lucknow,M,White,Summer,2.8,No,Next Day,No,No,44,Net Banking,Weekly
202,65,Female,Watch,Accessories,185,Mumbai,XL,Red,Winter,2.4,Yes,Express,Yes,Yes,18,Card,Monthly
203,43,Male,Shoes,Clothing,354,Mumbai,XL,Red,Summer,4.8,No,Express,No,No,26,Card,Monthly
204,54,Male,Shoes,Accessories,315,Bangalore,M,Red,Winter,2,No,Express,Yes,Yes,8,Card,Monthly
205,41,Male,Jeans,Accessories,400,Bangalore,XL,Red,Winter,2.6,Yes,Standard,Yes,Yes,45,Card,Quarterly
206,31,Male,Jeans,Accessories,473,Mumbai,L,White,Summer,4.1,No,Standard,Yes,No,32,UPI,Weekly
207,57,Male,Bag,Footwear,202,Lucknow,XL,White,Spring,2.5,Yes,Next Day,Yes,Yes,38,Card,Weekly
208,68,Female,Shoes,Clothing,334,Delhi,L,Black,Winter,4.5,Yes,Express,Yes,No,44,UPI,Weekly
209,31,Female,Shoes,Accessories,255,Mumbai,L,Red,Winter,2,No,Next Day,No,Yes,49,Card,Weekly
210,58,Male,Bag,Accessories,477,Delhi,L,Blue,Autumn,1.1,Yes,Next Day,Yes,Yes,12,Net Banking,Monthly
211,31,Male,Bag,Clothing,183,Bangalore,M,Black,Winter,3.5,Yes,Standard,No,Yes,16,Net Banking,Monthly
212,55,Male,Shirt,Accessories,101,Delhi,L,White,Spring,3,No,Next Day,No,No,12,Cash,Quarterly
213,59,Male,Shirt,Footwear,195,Lucknow,L,White,Summer,4.7,Yes,Standard,No,Yes,25,Cash,Monthly
214,41,Female,Bag,Accessories,313,Bangalore,L,White,Autumn,2.7,Yes,Next Day,No,Yes,44,Cash,Quarterly
215,56,Male,Watch,Clothing,477,Delhi,S,Blue,Spring,1.5,Yes,Standard,No,No,36,Net Banking,Weekly
216,32,Male,Shirt,Clothing,416,Bangalore,L,Blue,Winter,2.3,Yes,Standard,Yes,Yes,28,Card,Weekly
217,22,Male,Bag,Accessories,18,Mumbai,L,White,Autumn,2.6,No,Express,No,Yes,23,Cash,Monthly
218,23,Male,Shirt,Footwear,259,Bangalore,S,Black,Summer,3.3,No,Express,No,Yes,36,Card,Weekly
219,41,Male,Shoes,Clothing,87,Delhi,XL,Black,Spring,2.1,No,Standard,Yes,Yes,23,UPI,Quarterly
220,64,Male,Watch,Clothing,187,Bangalore,XL,Blue,Spring,3.2,No,Next Day,No,No,44,Net Banking,Monthly
221,24,Female,Shoes,Footwear,472,Delhi,L,Red,Autumn,4.6,No,Standard,No,No,27,Cash,Monthly
222,41,Female,Shoes,Clothing,492,Delhi,XL,Blue,Winter,2.7,Yes,Next Day,Yes,Yes,33,Cash,Quarterly
